"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Cardano-Midnight ZKBridge: Port Assets between Midnight and Cardano","380","₳99,167,050","₳26,358,236","YES","₳120,000","FUNDED","₳2,725,543",""
"Upgrade Cardano wallet js for Chang HF","378","₳97,335,255","₳48,452,932","YES","₳180,000","FUNDED","₳2,545,543",""
"Unified Open Source DEX Analytics For Cardano","489","₳96,498,059","₳48,721,452","YES","₳75,000","FUNDED","₳2,470,543",""
"Standardized Smart Contract Libraries for Cardano","318","₳95,494,185","₳37,865,178","YES","₳176,000","FUNDED","₳2,294,543",""
"Streamlining Cardano DApp Development with Open-Source Batcher","327","₳93,469,409","₳18,988,065","YES","₳115,000","FUNDED","₳2,179,543",""
"OpShin Audit","326","₳91,582,010","₳38,057,407","YES","₳200,000","FUNDED","₳1,979,543",""
"Cardano Game Development SDK for Unity","366","₳90,752,230","₳16,955,410","YES","₳84,000","FUNDED","₳1,895,543",""
"AI Assistant for Governance: Empowering Team-Based dReps","321","₳90,476,954","₳33,787,086","YES","₳150,000","FUNDED","₳1,745,543",""
"Proposal for the development of Community Health Management Software(CHMS)","351","₳89,302,488","₳68,185,085","YES","₳200,000","FUNDED","₳1,545,543",""
"Marlowe PBL 2025","468","₳88,080,436","₳20,816,604","YES","₳200,000","FUNDED","₳1,345,543",""
"Automation Testing Framework for Smart Contract with Courses & Hackathons","275","₳87,830,489","₳37,779,569","YES","₳150,000","FUNDED","₳1,195,543",""
"Sky Protocol: Data Availability for Cardano Layer 2 Solutions","303","₳87,527,773","₳36,371,610","YES","₳200,000","FUNDED","₳995,543",""
"Decentralised Batcher Framework with DAO governance","370","₳86,755,149","₳29,690,571","YES","₳145,000","FUNDED","₳850,543",""
"Cardano GPT + PlutusTutor: A personalised AI Assistant for learning Plutus","427","₳86,665,191","₳57,981,909","YES","₳180,000","FUNDED","₳670,543",""
"Cardano Codec add support for Chang HF","336","₳86,505,468","₳46,156,670","YES","₳90,000","FUNDED","₳580,543",""
"Cardano Native Token Dex Price Indexer in Kotlin","261","₳86,385,933","₳44,948,525","YES","₳75,000","FUNDED","₳505,543",""
"DE-UPLC: Visual Studio Code Extension for Debugging and Visualizing Plutus Bytecode","341","₳85,476,592","₳49,136,298","YES","₳200,000","FUNDED","₳305,543",""
"Add more and easier levels to Cardano Capture the Flag (CTF)","338","₳83,918,006","₳20,765,171","YES","₳198,800","FUNDED","₳106,743",""
"Reinventing Voting with Digital Identity, Trust and Anonymity","343","₳83,654,268","₳34,789,999","YES","₳176,500","NOT FUNDED","₳106,743","Over Budget"
"Cardano Laboratory: A Development and Testing Environment for Cardano","362","₳81,250,663","₳39,778,445","YES","₳200,000","NOT FUNDED","₳106,743","Over Budget"
"Redesign of Catalyst's proposal review system and methodology [by TrustLevel, Photrek & Lidonation]","323","₳80,976,355","₳21,628,630","YES","₳200,000","NOT FUNDED","₳106,743","Over Budget"
"Integrating AI and Blockchain: Developing AI Standards for Cardano","356","₳80,721,273","₳106,150,136","YES","₳106,000","FUNDED","₳743",""
"StablePay: Crypto Payment Widget to Allow Decentralized Stablecoins to be Used for Payments in Merchant Websites","391","₳80,186,257","₳27,153,455","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"ANVIL - Open Source - Universal Wallet Connector - Crosschain","381","₳79,182,597","₳46,621,933","YES","₳145,000","NOT FUNDED","₳743","Over Budget"
"Gasless Tx Library: Empowering Cardano dApps & DAOs to Sponsor Gas Fees to Increase User Base and Adoption - Open-source","330","₳78,832,855","₳32,283,569","YES","₳120,000","NOT FUNDED","₳743","Over Budget"
"Cardano Explorer Upgrade: Advanced Analytics & Visualization","284","₳78,761,338","₳31,616,134","YES","₳126,000","NOT FUNDED","₳743","Over Budget"
"Open-Source One-Click Wallet Library: No Extensions Needed","340","₳78,421,861","₳51,918,704","YES","₳190,000","NOT FUNDED","₳743","Over Budget"
"DevX Wallet - The Cardano Developer Wallet","373","₳77,489,262","₳32,455,921","YES","₳140,000","NOT FUNDED","₳743","Over Budget"
"Personal Cardano - Empowering Local Blockchain Development","258","₳77,488,170","₳19,183,361","YES","₳80,000","NOT FUNDED","₳743","Over Budget"
"Djed Shu Stablecoin Implementation","385","₳76,642,468","₳36,834,694","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Cardano UI Component Library by Lido Nation","355","₳76,624,415","₳32,258,485","YES","₳140,000","NOT FUNDED","₳743","Over Budget"
"Marlowe Starter-Kit: Ready-to-use Components - NEXT & TS-SDK","371","₳75,078,656","₳29,734,079","YES","₳120,400","NOT FUNDED","₳743","Over Budget"
"Ouroboros Stress Test and Early Warning System","472","₳74,610,538","₳43,987,066","YES","₳150,000","NOT FUNDED","₳743","Over Budget"
