"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Prime Wallet: Mass Voting & Multi-Wallet Actions","184","₳74,469,694","₳8,467,457","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"K3 Labs and Waffle Capital | DeFi Agents on Cardano","146","₳73,409,823","₳13,435,373","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"Improving Cardano UX - Transparent Block Production Schedule","193","₳73,081,428","₳15,501,962","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"Anvil - Weld: Massive Updates and Seamless Cardano for dApps","159","₳70,050,567","₳8,643,994","YES","₳79,000","NOT FUNDED","₳41,166","Over Budget"
"Cometa.cpp: Cardano SDK for C++ with Full Conway Era Support","147","₳69,528,599","₳4,934,254","YES","₳60,000","NOT FUNDED","₳41,166","Over Budget"
"Cardano Component UI Library [by Lido Nation]","155","₳68,843,538","₳9,237,507","YES","₳68,000","NOT FUNDED","₳41,166","Over Budget"
"Implement PLONK in Aiken (ZK) - Eryx","195","₳68,670,791","₳10,080,028","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"Hydra Enterprise OS: Onboarding Institutions with Low-code","171","₳68,582,358","₳9,035,170","YES","₳85,000","NOT FUNDED","₳41,166","Over Budget"
"No Witness - MACS coin selection algorithm for Evolution SKD","200","₳67,322,474","₳26,974,107","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"MLabs - CTL JavaScript / TypeScript Interface","244","₳67,084,199","₳2,672,898","YES","₳98,742","NOT FUNDED","₳41,166","Over Budget"
"Bind-friendly C Library for Ledger HW Cardano App","172","₳67,046,290","₳13,043,868","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"SAIB: Chrysalis.Network – Ouroboros Protocols for .NET","168","₳66,373,019","₳11,587,902","YES","₳100,000","NOT FUNDED","₳41,166","Over Budget"
"Cardanoscan for AI Agents: Open Source MCP Server","187","₳65,754,547","₳6,396,819","YES","₳99,500","NOT FUNDED","₳41,166","Over Budget"
"No Witness - Firehose and Substreams Integration for Cardano","215","₳64,089,089","₳9,290,034","YES","₳81,000","NOT FUNDED","₳41,166","Over Budget"
"Evolution 1 of Cardano Native Token Price Indexer in Kotlin","124","₳64,034,342","₳10,230,882","YES","₳81,000","NOT FUNDED","₳41,166","Over Budget"
"Yubikey Cardano Wallet","182","₳63,682,125","₳4,512,215","YES","₳15,000","FUNDED","₳26,166",""
"Elixir client for Ouroboros networking protocol","155","₳63,220,281","₳10,221,656","YES","₳100,000","NOT FUNDED","₳26,166","Over Budget"
"SAIB: Chrysalis.Plutus.SDK - Developer Tools & Integration","177","₳63,094,801","₳14,278,828","YES","₳100,000","NOT FUNDED","₳26,166","Over Budget"
"Hydra-Enabled On-Chain ChatGPT for Secure & High-Speed AI","135","₳62,567,595","₳7,401,536","YES","₳90,000","NOT FUNDED","₳26,166","Over Budget"
"Aiken Integration on IntelliJ - Eryx","125","₳62,111,068","₳6,814,781","YES","₳90,000","NOT FUNDED","₳26,166","Over Budget"
"Multi-source Oracle Aggregation","177","₳61,626,151","₳10,188,725","YES","₳100,000","NOT FUNDED","₳26,166","Over Budget"
"Anvil - CSL‑Lite: Modular Cardano Serialization Toolkit","148","₳60,882,762","₳8,907,243","YES","₳85,000","NOT FUNDED","₳26,166","Over Budget"
"Cometa.php: Cardano SDK for PHP with Full Conway Era Support","134","₳60,844,179","₳6,332,652","YES","₳60,000","NOT FUNDED","₳26,166","Over Budget"
"No Witness - Common Vulnerabilities Patterns","222","₳60,648,401","₳6,764,093","YES","₳87,000","NOT FUNDED","₳26,166","Over Budget"
"Atlas PAB: Native Bitcoin (BTC) Integration Layer","259","₳60,281,973","₳7,896,283","YES","₳100,000","NOT FUNDED","₳26,166","Over Budget"
"Plutus Cheatsheet Generator","115","₳59,405,858","₳7,231,951","YES","₳15,000","FUNDED","₳11,166",""
"High-Performance Cardano DEX Indexer — Rust + gRPC","204","₳59,375,932","₳6,602,876","YES","₳76,500","NOT FUNDED","₳11,166","Over Budget"
"Cardano Partnerchain Migrator: Solana PE & Avalanche Subnet","145","₳59,302,054","₳5,004,782","YES","₳80,000","NOT FUNDED","₳11,166","Over Budget"
"SAIB: Chrysalis.Tx – Advanced Transaction Building for .NET","133","₳58,315,178","₳11,102,485","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"MLabs: Path Analysis on Covenant","195","₳58,115,308","₳5,697,936","YES","₳99,861","NOT FUNDED","₳11,166","Over Budget"
"Mesh: Privacy-Enabled Smart Contracts and UI for Midnight","253","₳56,910,276","₳6,424,529","YES","₳65,000","NOT FUNDED","₳11,166","Over Budget"
"Cross-Platform SDK: A Unified Cardano Development Kit","133","₳56,832,084","₳3,904,910","YES","₳68,000","NOT FUNDED","₳11,166","Over Budget"
"No Witness - Ghost Codec the Hardhat of Cardano","201","₳56,245,554","₳8,308,241","YES","₳97,600","NOT FUNDED","₳11,166","Over Budget"
"No Witness - Cardano MCP (Model Context Protocol)","204","₳56,099,278","₳6,933,214","YES","₳87,600","NOT FUNDED","₳11,166","Over Budget"
"VDIC-Cardano: Verifiable IPFS Clusters for Cardano","129","₳55,250,223","₳11,794,952","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"CardaPay Seamless Payments Powered by Cardano","156","₳54,120,191","₳7,895,308","YES","₳75,000","NOT FUNDED","₳11,166","Over Budget"
"Aiken JetBrains Extension","131","₳52,899,803","₳22,032,461","YES","₳85,000","NOT FUNDED","₳11,166","Over Budget"
"SAIB: Chrysalis.Plutus.Builtins - Core Runtime Operations","123","₳52,833,863","₳12,353,839","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"ZK-P2P Lending with Midnight ZKPs; Private Loans Cardano Lib","152","₳52,482,545","₳23,384,722","YES","₳80,000","NOT FUNDED","₳11,166","Over Budget"
"Anvil - Scale the Chain: Universal Merkle Bridge POC for L2s","143","₳52,301,414","₳6,586,084","YES","₳95,000","NOT FUNDED","₳11,166","Over Budget"
"Andamio Auth: T3 App Template with Cardano Token-Based Login","259","₳51,999,650","₳21,844,152","YES","₳67,200","NOT FUNDED","₳11,166","Over Budget"
"Shopify + ADA Payments + Native Assets in E-commerce Stores","250","₳51,987,851","₳11,308,329","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"Cardano Passkey","139","₳50,737,589","₳7,384,563","YES","₳70,000","NOT FUNDED","₳11,166","Over Budget"
"SAIB: Chrysalis.CBOR – .NET's CBOR (De)serialization Engine","133","₳50,697,254","₳12,361,268","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"COTS-CLI: Cardano Offline Transaction Simulator","178","₳49,306,268","₳8,505,860","YES","₳20,000","NOT FUNDED","₳11,166","Over Budget"
"Boost Developer Efficiency: Cardano + Midnight Dev MCP Agent","157","₳49,222,574","₳7,841,934","YES","₳75,000","NOT FUNDED","₳11,166","Over Budget"
"Cexplorer: Open Addon System for Metadata and Scripts","175","₳49,032,830","₳5,468,567","YES","₳40,000","NOT FUNDED","₳11,166","Over Budget"
"Cometa.lua: Cardano SDK for Lua with Full Conway Era Support","127","₳48,878,005","₳8,368,747","YES","₳60,000","NOT FUNDED","₳11,166","Over Budget"
"Orcfax Live Feed Extension – Latest Price Smart Contract","197","₳48,345,528","₳10,787,780","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"Cexplorer: Public Entity DB and Mgmt for Pool/Drep/Asset/...","146","₳48,188,200","₳5,887,506","YES","₳50,000","NOT FUNDED","₳11,166","Over Budget"
"Unified Open Source DAO Analytics for Cardano","152","₳48,070,658","₳7,742,137","YES","₳75,000","NOT FUNDED","₳11,166","Over Budget"
"Koios C++ Client Library","125","₳46,713,285","₳3,977,673","YES","₳65,000","NOT FUNDED","₳11,166","Over Budget"
"AI-Powered Smart Contract Auditing Tool for Cardano","108","₳46,684,105","₳10,403,116","YES","₳70,000","NOT FUNDED","₳11,166","Over Budget"
"Midnight and Open Zeppelin Partnership for Computation","158","₳45,832,383","₳11,213,670","YES","₳100,000","NOT FUNDED","₳11,166","Over Budget"
"Cometa.rb: Cardano SDK for Ruby with Full Conway Era Support","113","₳45,459,923","₳22,944,004","YES","₳60,000","NOT FUNDED","₳11,166","Over Budget"
"Fast and Reliable Public Access to Cardano APIs","185","₳44,251,759","₳10,496,811","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Postman","118","₳44,199,912","₳8,001,691","NO","₳36,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano DEX Programming Toolkit (OS MM/Arb Building Blocks)","137","₳44,197,297","₳10,291,443","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"ADA Payment Gateway (Phase 2): WordPress & WooCommerce Integ","154","₳43,970,685","₳8,122,145","NO","₳75,000","NOT FUNDED","₳11,166","Approval Threshold"
"Dandelion: new CardanoGraphQL+Blockfrost+Yaci over GraphQL","140","₳43,493,142","₳7,943,841","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Unified Open Analytics for Cardano DeFi","162","₳41,054,591","₳12,199,689","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"P2E ADA: Open-Source Framework for Game Devs","127","₳40,564,228","₳12,397,943","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Genesis: Open Source Multi-Sig Wallet","148","₳39,645,423","₳6,763,706","NO","₳50,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano AI Wallet Alerts for Instant Blockchain Events","132","₳38,657,118","₳10,555,000","NO","₳65,000","NOT FUNDED","₳11,166","Approval Threshold"
"Adder: RealTime Governance & Mempool Tracking by Blink Labs","205","₳38,062,590","₳6,846,636","NO","₳28,400","NOT FUNDED","₳11,166","Approval Threshold"
"CSPO-CLI: Secure, Simple Key Management for Cardano SPOs","139","₳37,657,058","₳5,454,843","NO","₳20,000","NOT FUNDED","₳11,166","Approval Threshold"
"Inheritance Smart Contracts (Web3 and Real World)- GenWealth","224","₳37,646,376","₳7,983,169","NO","₳96,875","NOT FUNDED","₳11,166","Approval Threshold"
"Mesh: Transaction V2 Unified Serialization feat. Pallas","237","₳36,921,620","₳10,564,924","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Solidity to Aiken 1-Click Cross Chain Code Tool","101","₳36,283,810","₳6,318,379","NO","₳95,000","NOT FUNDED","₳11,166","Approval Threshold"
"TradFi MidnightZK SDK – Bridge Banking to Cardano DeFi","172","₳36,259,132","₳7,670,586","NO","₳90,000","NOT FUNDED","₳11,166","Approval Threshold"
"EVM-to-eUTXO Contract Translator Toolkit","133","₳35,860,272","₳4,981,023","NO","₳85,000","NOT FUNDED","₳11,166","Approval Threshold"
"HLabs: Buildooor <> UTxO RPC","193","₳35,469,888","₳13,816,029","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"BankerLabs x Yepple: Airdrop Solutions - API & SDK","201","₳34,853,669","₳13,782,289","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Unlocking Dual Rewards with ADA + NIGHT","173","₳34,847,706","₳4,260,401","NO","₳60,000","NOT FUNDED","₳11,166","Approval Threshold"
"CardanoWeb3js — Enhancing the TypeScript SDK for Cardano","174","₳34,670,485","₳5,665,398","NO","₳15,000","NOT FUNDED","₳11,166","Approval Threshold"
"GovernanceSpace - All-in-One Governance Platform Enhancement","198","₳34,642,319","₳13,846,388","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"BankerLabs x Yepple: CIP-68 Token SDK to Fuel DeFi & DePIN","187","₳34,517,894","₳20,555,863","NO","₳70,000","NOT FUNDED","₳11,166","Approval Threshold"
"Visual Aiken Smart Contract Builder (No-Code Platform)","110","₳34,359,092","₳7,249,452","NO","₳75,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano IoT SDK - C++ Toolkit for IoT Integration on Cardano","170","₳34,300,538","₳21,264,870","NO","₳98,993","NOT FUNDED","₳11,166","Approval Threshold"
"Scaffold Cardano: Aiken Development Toolkit","143","₳33,829,124","₳4,338,866","NO","₳65,000","NOT FUNDED","₳11,166","Approval Threshold"
"AikenPilot - MCP","112","₳32,418,188","₳6,688,105","NO","₳85,000","NOT FUNDED","₳11,166","Approval Threshold"
"UTxO Timeline Graph: Visual Time-Travel Debugging for Devs","138","₳31,638,668","₳9,139,944","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"cardano-dev-mcp: MCP for Devs of Cardano","92","₳31,417,054","₳7,514,949","NO","₳85,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano*GPT: AI-Powered Prompt-to-Smart Contract Generator","122","₳31,404,629","₳8,200,464","NO","₳53,000","NOT FUNDED","₳11,166","Approval Threshold"
"Next-Gen AI and Blockchain SDK for Mobile app Developers","125","₳31,077,562","₳10,984,238","NO","₳98,550","NOT FUNDED","₳11,166","Approval Threshold"
"Midnight privacy Voting SDK","232","₳30,280,161","₳6,470,380","NO","₳92,738","NOT FUNDED","₳11,166","Approval Threshold"
"GeoSpace API","111","₳29,791,342","₳7,354,650","NO","₳99,800","NOT FUNDED","₳11,166","Approval Threshold"
"Open-Source Batchers for Orderbook DEXs","167","₳29,666,127","₳21,824,116","NO","₳82,100","NOT FUNDED","₳11,166","Approval Threshold"
"Wolfram Cardano MCP Server: Smart Contracts & Catalyst","143","₳28,147,297","₳23,501,508","NO","₳75,000","NOT FUNDED","₳11,166","Approval Threshold"
"Multi-Chain Bridge","126","₳28,120,447","₳9,264,043","NO","₳50,000","NOT FUNDED","₳11,166","Approval Threshold"
"HLabs: cddl-tools","186","₳27,813,903","₳18,258,083","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Smart Contract Legal Template Library for Cardano Projects","116","₳27,340,892","₳6,441,421","NO","₳99,975","NOT FUNDED","₳11,166","Approval Threshold"
"Public API & Integration Guide for Cardano Lending Protocols","149","₳27,041,463","₳6,598,978","NO","₳50,000","NOT FUNDED","₳11,166","Approval Threshold"
"Reeve's integration with Largest ERP in LATAM TOTVS Protheus","178","₳26,883,095","₳28,455,075","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano AI Hub: Decentralized AI Model ADA Microtransactions","124","₳26,703,888","₳26,773,088","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
