"Proposal","Votes cast","Yes","No","Result","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"(CaaS) Coin as a Service for SmartDev3: Copyright, coding, and web3 development tokenization","250","₳12,765,601","₳147,591,384","-₳134,825,783","NO","₳210,000","NOT FUNDED","₳32,092","Approval Threshold"
"Automated Rewards mechanisms for projects on Cardano","312","₳21,143,372","₳157,239,670","-₳136,096,298","NO","₳180,000","NOT FUNDED","₳32,092","Approval Threshold"
"GreenCycle // Cardano Smart Waste and Recycling Management Solution powered by @energiasocial","288","₳18,524,522","₳154,684,777","-₳136,160,255","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain-Servitization Hub: Empowering African Startups","319","₳22,006,406","₳158,500,176","-₳136,493,770","NO","₳250,000","NOT FUNDED","₳32,092","Approval Threshold"
"Wallet Hunter: Leveraging Blockchain Data for Targeted Web3 Growth","252","₳14,363,319","₳152,089,581","-₳137,726,262","NO","₳100,000","NOT FUNDED","₳32,092","Approval Threshold"
"Servitization-Blockchain Accelerator: Revolutionizing Business Models","290","₳18,740,071","₳156,515,233","-₳137,775,162","NO","₳250,000","NOT FUNDED","₳32,092","Approval Threshold"
"Development of a Haskell-EDSL Optimized for Open-Source Hardware for Scalable Sidechains on the Cardano Blockchain","476","₳44,474,007","₳182,938,104","-₳138,464,097","NO","₳660,000","NOT FUNDED","₳32,092","Approval Threshold"
"From Chaos to Clarity: Streamlining Legal and Infrastructure Challenges in the DAO Ecosystem. Research, Toolkit, Product ""On-Off-Chain Co"" & Education.","332","₳25,496,024","₳165,197,418","-₳139,701,394","NO","₳608,000","NOT FUNDED","₳32,092","Approval Threshold"
"FluxusNetwork European investment security for Cardano","294","₳22,470,277","₳163,208,585","-₳140,738,308","NO","₳380,000","NOT FUNDED","₳32,092","Approval Threshold"
"Future Quest: the next-gen platform for X-prize style impact funding. We're a match-making incubator for high impact projects leveraging web3, community and science.","271","₳17,340,501","₳162,232,598","-₳144,892,097","NO","₳350,000","NOT FUNDED","₳32,092","Approval Threshold"
"FiDa - Obtain Class IIGB regulatory status in the Bermuda Monetary Authority.","267","₳13,508,671","₳158,686,155","-₳145,177,484","NO","₳225,000","NOT FUNDED","₳32,092","Approval Threshold"
"ADAPIX - Buy & Sell ADA with R$ (Brazilian Reais), pay bills at millions of merchants and withdraw $ADA <-> Fiat on thousand of bank ATMs","434","₳28,105,848","₳173,285,048","-₳145,179,200","NO","₳398,571","NOT FUNDED","₳32,092","Approval Threshold"
"Crypto Jobs, Blockchain Talents & Recruiting Platform With a Job Aggregator from Multiple Tech Sites and Sources","398","₳24,092,875","₳171,740,911","-₳147,648,036","NO","₳244,286","NOT FUNDED","₳32,092","Approval Threshold"
"Rewards Without Borders: A Web2 Compatible, Cross-Chain Digital Collectibles Loyalty Program on Cardano","295","₳23,832,622","₳172,446,457","-₳148,613,835","NO","₳337,000","NOT FUNDED","₳32,092","Approval Threshold"
"DRED cPoker integration","288","₳16,220,149","₳165,316,256","-₳149,096,107","NO","₳385,000","NOT FUNDED","₳32,092","Approval Threshold"
"We're a one-stop high integrity carbon data platform for companies, project developers and investors, leveraging 7-year blockchain supply chain traceability leadership and global clients","293","₳18,920,254","₳169,923,113","-₳151,002,859","NO","₳310,000","NOT FUNDED","₳32,092","Approval Threshold"
"DLT360: cardaLABS Business Application Sandbox - Powerful Web 3.0 Infrastructure, Playground and Expert Services for Commercial Clients","312","₳21,750,177","₳185,336,267","-₳163,586,090","NO","₳500,000","NOT FUNDED","₳32,092","Approval Threshold"
"Nomos: Side-Chain & Cross-Chain Bridge for Cardano","548","₳40,438,720","₳215,704,856","-₳175,266,136","NO","₳6,500,000","NOT FUNDED","₳32,092","Approval Threshold"
"Use Cardano-native token to solve software development and usability problems","492","₳26,626,429","₳204,449,484","-₳177,823,055","NO","₳1,666,666","NOT FUNDED","₳32,092","Approval Threshold"
"MiCA EU Crypto Regulation Guideline","838","₳33,110,538","₳267,334,514","-₳234,223,976","NO","₳150,000","NOT FUNDED","₳32,092","Approval Threshold"
"GDPR Compliance Guide","803","₳27,731,038","₳271,481,462","-₳243,750,424","NO","₳45,000","NOT FUNDED","₳32,092","Approval Threshold"
"Bridging Cardano and Automobile OEMs","812","₳25,814,446","₳276,881,646","-₳251,067,200","NO","₳100,000","NOT FUNDED","₳32,092","Approval Threshold"
"Digital Transformation of Car Insurance via Blockchain","881","₳29,400,468","₳283,624,080","-₳254,223,612","NO","₳150,000","NOT FUNDED","₳32,092","Approval Threshold"
"Electric Vehicle Charging: Blockchain-Based Efficient Solutions","834","₳25,819,822","₳282,494,038","-₳256,674,216","NO","₳60,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain-based Vehicle-to-Everything (V2X) Communication","815","₳22,328,579","₳279,662,560","-₳257,333,981","NO","₳60,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain-Based Car Insurance Platform","906","₳31,647,821","₳289,496,399","-₳257,848,578","NO","₳300,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain-Driven Carbon Credit System for Sustainable Mobility","852","₳25,620,461","₳285,836,368","-₳260,215,907","NO","₳300,000","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain-based Carbon Credit Solutions in Transportation","834","₳24,576,237","₳287,407,002","-₳262,830,765","NO","₳150,000","NOT FUNDED","₳32,092","Approval Threshold"
"Official Partnership with a Top German Car Manufacturer","917","₳30,548,483","₳295,066,031","-₳264,517,548","NO","₳450,000","NOT FUNDED","₳32,092","Approval Threshold"
