"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"EthioMarket DApp: Decentralized E-Commerce for Ethiopia","83","₳12,769,677","₳12,666,013","NO","₳93,000","NOT FUNDED","₳513,764","Approval Threshold"
"M9 privacy voting app - Privacy DAO for Cardano native asset","150","₳12,652,396","₳5,058,139","NO","₳89,161","NOT FUNDED","₳513,764","Approval Threshold"
"Cattle Lifecycle Tracking for Export Compliance","107","₳12,605,885","₳10,139,560","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Vaulti: The multi auth Cardano Vault","124","₳12,458,159","₳8,639,995","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"K33P | Self-custodial digital Vault.","114","₳12,173,099","₳5,705,747","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"Markado: The Smart Bot for Centralized Shopping on Telegram.","86","₳12,018,121","₳7,802,235","NO","₳45,000","NOT FUNDED","₳513,764","Approval Threshold"
"Anonymous Transactions: Building Cardano’s Privacy Infra","95","₳12,004,713","₳7,022,035","NO","₳74,000","NOT FUNDED","₳513,764","Approval Threshold"
"[Br0x] Non-Custodial Bridgeless Swaps: Cardano ↔ EVM","151","₳11,970,938","₳7,874,652","NO","₳93,400","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano’s AI Risk Engine/On-chain Analytics: Tokeo x ZarkLab","121","₳11,771,119","₳9,856,245","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Plant Passport 3.0","93","₳11,665,355","₳23,062,124","NO","₳30,000","NOT FUNDED","₳513,764","Approval Threshold"
"CardanoSwipe(TikTok-Style Dapp): Swipe, Share, Earn, Vote","112","₳11,415,071","₳14,245,537","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"AegisGrid: Blockchain-Powered Energy Management","110","₳11,358,244","₳8,110,710","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Agrilcture Marketplace with Bidding & Verified ID","91","₳11,356,440","₳4,007,195","NO","₳74,000","NOT FUNDED","₳513,764","Approval Threshold"
"DCU : Decetralized Credit Unions Toolkit on Cardano","114","₳11,262,290","₳4,970,461","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Bring ADA Payments to Millions of Odoo ERP based Businesses","94","₳11,130,296","₳7,258,290","NO","₳73,000","NOT FUNDED","₳513,764","Approval Threshold"
"Seamless FIAT to Cardano token on/off ramp","106","₳11,123,103","₳11,444,269","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"VeriScience: Decentralized Publishing & Peer review on ADA","97","₳11,108,578","₳26,765,580","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"cPoker Development","107","₳10,867,067","₳12,811,666","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"PayShare: share links, receive payments","81","₳10,750,850","₳4,911,219","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"Distribution Transformer Monitoring using Cardano and IoT","90","₳10,699,967","₳5,224,918","NO","₳15,000","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralized Identity for Health Record Management","112","₳10,693,957","₳4,090,407","NO","₳60,350","NOT FUNDED","₳513,764","Approval Threshold"
"GreenDAO: Carbon Credit Platform on Cardano","80","₳10,672,541","₳8,481,488","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"DigiFarm Credit & Climate Passport","88","₳10,511,461","₳4,790,522","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"ProposalGPT: AI Co-Pilot with On-Chain Archiving for Cardano","85","₳10,489,354","₳7,329,172","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"OPUS: Trust-Based Hiring for the Future of Work","102","₳10,443,705","₳10,670,311","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Land ID Gateway One Source of Truth for Property Ownership","87","₳10,367,554","₳4,256,811","NO","₳94,000","NOT FUNDED","₳513,764","Approval Threshold"
"ChainSente: A Cardano Wallet for DeFi and Mobile Money","91","₳10,341,312","₳5,924,115","NO","₳48,000","NOT FUNDED","₳513,764","Approval Threshold"
"Integrate ADA payment features into Tiki Wiki CMS Groupware","76","₳10,277,872","₳7,780,991","NO","₳95,200","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Open Peer Review: An On-Chain Publishing MVP","95","₳10,196,622","₳25,545,890","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"PharmaDNA: Drug traceability powered by Blockchain & AIoT","96","₳10,090,870","₳5,756,189","NO","₳47,360","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Token Risk Analysis Bot via Telegram","115","₳10,064,482","₳9,146,794","NO","₳82,225","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano AI Risk-Manager for treasury financial resilience","94","₳10,061,604","₳6,055,983","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"VoteScope AI: Voter Turnout Intelligence for SPOs & DReps","113","₳10,003,059","₳7,523,569","NO","₳99,975","NOT FUNDED","₳513,764","Approval Threshold"
"KnightSafe: Trading Strategy Selector & Asset Controls","106","₳9,970,862","₳11,341,585","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"The Cardano Home Portal","112","₳9,868,104","₳15,097,663","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"PROTOFIRE - Cardano Cross-Chain Interoperability Protocol","109","₳9,847,063","₳13,252,963","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"BlockMargin - Interest Rate Derivatives Settlement - Mainnet","77","₳9,826,287","₳5,821,720","NO","₳99,975","NOT FUNDED","₳513,764","Approval Threshold"
"Patilla Noir: Artistic and Digital Product Passports","103","₳9,771,747","₳27,512,753","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"ReLoop: Turning E-Waste into Wealth through Cardano","92","₳9,762,302","₳23,115,779","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"BookHub - Cardano Powered Book Sharing","79","₳9,665,361","₳8,974,034","NO","₳48,000","NOT FUNDED","₳513,764","Approval Threshold"
"Level-2 Identity Verification","109","₳9,655,242","₳5,521,229","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"[Lowfee] Reduce Transaction Fee by 80% without Layer-2","157","₳9,630,714","₳14,056,662","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Hydra Texas Hold'em Poker Platform","123","₳9,548,621","₳13,230,002","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Scalable Cooperative Microlending dApp","83","₳9,508,934","₳2,156,748","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"VNX - Licensed European non-usd stablecoins for Cardano","113","₳9,490,654","₳11,786,909","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano RWAs Hackathon - (8 - industries templates)","107","₳9,488,513","₳11,796,864","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Real-Time Trading and Alerts for all token pairs on Cardano","102","₳9,386,354","₳9,171,562","NO","₳78,700","NOT FUNDED","₳513,764","Approval Threshold"
"Trustless Cross-Chain Atomic Swaps for Cardano","91","₳9,376,281","₳4,668,810","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"DeFi Buddy: Simplifying DeFi for Everyone","92","₳9,315,640","₳7,708,827","NO","₳36,000","NOT FUNDED","₳513,764","Approval Threshold"
"W3BFLIX","93","₳9,313,966","₳10,934,775","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"High Yield Tokenized Carbon Credits","91","₳9,293,704","₳13,316,760","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Fractionalized Telocommunication Infrastructure On Cardano","92","₳9,278,927","₳6,280,272","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"sauce.cafe – Decentralised social intelligence platform","105","₳9,269,655","₳10,565,454","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"On‑Chain Task and Contributor Verification","135","₳9,240,134","₳12,961,350","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralized Presidential Voting System","95","₳9,229,915","₳19,597,287","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"AI-Assisted Smart Contract Generator Prototype","76","₳9,214,250","₳5,960,067","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"UltraDecentralised.money: Cardano Metrics Hub","116","₳9,143,617","₳7,242,369","NO","₳40,502","NOT FUNDED","₳513,764","Approval Threshold"
"BendingAI – Advanced Cardano DeFi & Wallet Analytics","86","₳9,134,650","₳5,583,807","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"Vendano: Contact‑based Cardano wallet (iOS + Android)","108","₳9,028,876","₳7,405,429","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Agentic AI for Disseminating Cardano Insights","110","₳9,025,273","₳29,558,339","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"[BLAB] Decentralized Talent, DAO, Escrow & Reputation","108","₳8,887,130","₳7,947,890","NO","₳55,284","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralised Voting and Authentication System","95","₳8,818,887","₳27,979,782","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Blockchain Portal for Missing Persons in Brazil","113","₳8,750,082","₳12,453,589","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"HalalCert++","92","₳8,662,484","₳10,672,492","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Flipping Real Estate","104","₳8,651,989","₳12,716,374","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Merit Based Decentralized Repuation Engine","92","₳8,646,461","₳8,796,915","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"EduChain: A Decentralized Education Record System for School","97","₳8,642,378","₳9,130,215","NO","₳49,500","NOT FUNDED","₳513,764","Approval Threshold"
"Farm-to-Table Ingredient Traceability on Cardano","88","₳8,589,135","₳5,164,282","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Increasing Token Utility with Cardano Community Connect","107","₳8,550,882","₳10,404,744","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Car-dano Car wash (Car-pay)","104","₳8,528,061","₳10,226,170","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"$1.5T Impact Capital - How to Verify & Attribute this Impact","85","₳8,497,133","₳6,798,769","NO","₳93,000","NOT FUNDED","₳513,764","Approval Threshold"
"TerekaID: Cardano powered Livestock ID and Meat Traceability","88","₳8,422,096","₳3,714,950","NO","₳45,000","NOT FUNDED","₳513,764","Approval Threshold"
"Simple Secure On-Chain Voting App for Everyone","101","₳8,321,178","₳5,686,871","NO","₳78,000","NOT FUNDED","₳513,764","Approval Threshold"
"ScanPro: Next-Gen Humanitarian Track & Trace on Cardano","105","₳8,278,328","₳6,344,710","NO","₳45,000","NOT FUNDED","₳513,764","Approval Threshold"
"Entire Cocktail Bar Equity as Cardano RWAs - Sova Hanoi","86","₳8,243,853","₳23,067,406","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"GreenSnap: Rewarding Green Actions with Cardano Blockchain","103","₳8,238,723","₳7,089,684","NO","₳54,500","NOT FUNDED","₳513,764","Approval Threshold"
"Oracle for Interest Rate Derivatives","101","₳8,225,425","₳7,794,129","NO","₳99,480","NOT FUNDED","₳513,764","Approval Threshold"
"PrivateProof: Anonymous Attendance Verifier","80","₳8,221,129","₳7,082,085","NO","₳32,000","NOT FUNDED","₳513,764","Approval Threshold"
"Robo-trading Asset Vaults: Unlock Group Trading & Investing","87","₳8,218,163","₳11,303,661","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Compliance Layer to Onboard $100 trillion Securities Market","117","₳8,215,212","₳10,095,987","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Pooling Platform for 100K ADA GA Deposit by Dquadrant","102","₳8,190,008","₳25,832,638","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Research Hub: A Collaborative Platform on Cardano","80","₳8,149,081","₳6,504,980","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"EchoSafe: A Cardano dApp Securing Medical and Mental Health","88","₳8,131,840","₳20,510,612","NO","₳36,500","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Catalyst Projects - Metrics & Insights","91","₳8,027,245","₳19,521,783","NO","₳45,000","NOT FUNDED","₳513,764","Approval Threshold"
"Build a Dex Aggregator on Cardano","103","₳8,001,920","₳5,931,393","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano-Based University Certificate Verification","91","₳7,987,701","₳8,804,031","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"AfriSports Chain - Enhancing professional sports & athletes.","94","₳7,981,661","₳15,186,757","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Customer Acquisition & Ecosytem Marketing Funnel (by BETTER)","97","₳7,953,864","₳12,486,507","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Justice Ledger: Blockchain Criminal Records Ethiopia","86","₳7,886,672","₳10,965,739","NO","₳98,000","NOT FUNDED","₳513,764","Approval Threshold"
"ZKPetition: Privacy-Powered Voices","88","₳7,860,031","₳6,421,146","NO","₳54,325","NOT FUNDED","₳513,764","Approval Threshold"
"Kiyo Finance - A Next-Gen Lending Protocol for Cardano","92","₳7,820,178","₳10,180,025","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"decentralized Learning Management System_Knowledge Ledger","77","₳7,814,087","₳21,105,283","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"UrbanLink","108","₳7,791,563","₳14,668,724","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"WorldAds: Cardano-Powered DePIN Ads On Vehicle Roofs","83","₳7,720,536","₳8,670,913","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"AxellaCoin: MVP for Decentralized Biotech Trial Funding","84","₳7,685,938","₳6,521,348","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"CryptoAid: Restoring Trust in Humanitarian Aid.","95","₳7,685,384","₳5,845,483","NO","₳66,000","NOT FUNDED","₳513,764","Approval Threshold"
"Smart Contracts + Knowledge Graph + LLMs","76","₳7,652,280","₳7,942,798","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano AlertBot – Real-Time Wallet & Staking Notifications","95","₳7,650,952","₳8,475,877","NO","₳71,887","NOT FUNDED","₳513,764","Approval Threshold"
"On-Chain Certificates for Training and Education Programmes","76","₳7,616,618","₳7,351,009","NO","₳51,000","NOT FUNDED","₳513,764","Approval Threshold"
"Farmland Lease Tokenization","87","₳7,591,800","₳21,194,603","NO","₳40,000","NOT FUNDED","₳513,764","Approval Threshold"
"Microfinance Platform with Native Stablecoin Collateral","90","₳7,564,975","₳22,130,598","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"GigHub:Decentralized Freelance Marketplace with ADA Payments","87","₳7,563,271","₳7,327,904","NO","₳43,000","NOT FUNDED","₳513,764","Approval Threshold"
"X150-Valkyrie Wallet: One-Touch & Offline Pay, Mnemonic Safe","101","₳7,516,407","₳10,496,885","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Wordpress module for tokenization of real estate","96","₳7,507,727","₳12,214,118","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Zero-Knowledge Tenant Credentials using Veridian DID/VC","111","₳7,473,349","₳9,069,417","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"[BLAB] AI-Powered Stake Pool Optimization Cardano Phase 1","104","₳7,465,079","₳25,184,656","NO","₳60,895","NOT FUNDED","₳513,764","Approval Threshold"
"Local Language DAO Governance Experiments","72","₳7,332,410","₳6,037,970","NO","₳40,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Agro-Token l Argentina’s Grain-to-Chain Solution","113","₳7,329,983","₳7,447,986","NO","₳92,000","NOT FUNDED","₳513,764","Approval Threshold"
"TALENDRO: Decentralized Freelance Marketplace with Staking","98","₳7,255,338","₳7,492,534","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralized Crowdfunding DApp for Transparent Funding","93","₳7,254,931","₳6,428,019","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"AI Swarm Consensus: Building Humanity's Memory Layer","78","₳7,252,916","₳9,903,918","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"WAirdrop: One platform, endless drops","113","₳7,205,859","₳24,050,749","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"AI Colleague Your Project’s Institutional Memory","84","₳7,152,163","₳6,887,356","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Mapping Agency with Graph Analysis in Cardano","82","₳7,149,089","₳6,542,082","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Tamper-Proof Insurance Policies via Blockchain & DIDs","101","₳7,114,549","₳8,817,249","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"The First Cardano-Native CTI (Crypto Traded Index) Token","95","₳7,113,739","₳6,630,186","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"Neurotech Tokenomic Architecture","81","₳7,108,242","₳12,222,195","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Tokenizing livestock movements and life events","84","₳7,094,544","₳20,295,233","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"TrialNet: Open Source Clinical Trials Powered by Aiken","75","₳7,072,889","₳5,938,146","NO","₳68,500","NOT FUNDED","₳513,764","Approval Threshold"
"DPOPA - Digital Proof of Ownership for Assets","86","₳7,036,843","₳5,078,694","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"lovechain proof of concept: private dating on Cardano","88","₳7,014,794","₳11,067,754","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Empowering African Youth Football via Cardano Blockchain","114","₳7,000,558","₳16,616,300","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"TokenStay - Tokenized Real Estate on Cardano","101","₳6,985,474","₳14,434,458","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Beehive Tokenization","88","₳6,967,138","₳5,296,468","NO","₳35,000","NOT FUNDED","₳513,764","Approval Threshold"
"ReasonChain — ZK-Attested AI Chain-of-Thought Oracle","88","₳6,957,838","₳6,369,487","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Kit for Communities - Beyonders Collective BioHub","104","₳6,953,659","₳30,113,198","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Blue Nile Pay–Empowering Tourism with Secure,Cardano Payment","87","₳6,946,388","₳12,083,419","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"UVerify Template Library for Cardano Certificates","78","₳6,841,082","₳6,665,953","NO","₳74,000","NOT FUNDED","₳513,764","Approval Threshold"
"Blockchain-Verified Carbon Sequestration & Tokenization","84","₳6,796,721","₳8,090,106","NO","₳98,000","NOT FUNDED","₳513,764","Approval Threshold"
"Content Origin Attestation Proposal","75","₳6,782,330","₳6,988,441","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"Originate MedTrace","95","₳6,765,187","₳12,315,931","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralized Circular Economy Marketplace","84","₳6,749,939","₳10,578,353","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Talent & Gig Marketplace","90","₳6,737,207","₳9,615,677","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"AI learn-to-earn platform for Cardano onboarding","92","₳6,706,716","₳7,540,401","NO","₳35,000","NOT FUNDED","₳513,764","Approval Threshold"
"Hyper USD: A slippage resistant stablecoin hyperstructure","91","₳6,695,786","₳21,429,218","NO","₳69,900","NOT FUNDED","₳513,764","Approval Threshold"
"CardSynth","82","₳6,693,752","₳7,368,433","NO","₳36,000","NOT FUNDED","₳513,764","Approval Threshold"
"Eonpower: Cardano-Backed Solar Energy Solutions For Africa","105","₳6,679,948","₳8,250,351","NO","₳35,000","NOT FUNDED","₳513,764","Approval Threshold"
"ReWasteChain","92","₳6,624,497","₳8,934,579","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"GigsGig App: Building the Future of Campus Work with Cardano","78","₳6,609,996","₳5,534,341","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"SkyBrain: Neural Data Ownership on Cardano","91","₳6,603,571","₳27,927,732","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano KnowledgeHub – A RAG-Powered AI for Ecosystem Growth","79","₳6,569,925","₳5,553,415","NO","₳30,000","NOT FUNDED","₳513,764","Approval Threshold"
"Building the Future of SocialFi on Cardano","81","₳6,541,452","₳6,741,118","NO","₳98,284","NOT FUNDED","₳513,764","Approval Threshold"
"Reafino SmartStarter dApp: Audit & Mainnet Launch","93","₳6,522,286","₳6,977,323","NO","₳48,000","NOT FUNDED","₳513,764","Approval Threshold"
"Crypto Payroll on Cardano","106","₳6,464,665","₳23,517,965","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"Tokenized Real Estate & Housing Subdivisions","101","₳6,463,773","₳26,305,902","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"NextGen Developers 2.0: From Hackathon Success to Mainnet","93","₳6,427,603","₳10,724,286","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Business Development Service: Blockchain Solutions","83","₳6,402,520","₳12,218,708","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"EcoMandala v.2 – On-chain Environmental Intelligence","94","₳6,364,705","₳21,450,909","NO","₳96,000","NOT FUNDED","₳513,764","Approval Threshold"
"Blockchain-Based Agri-Finance for Smallholder Farmers","99","₳6,358,445","₳11,873,534","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Carbon Credit Portal for Clean Energy Producers","103","₳6,357,760","₳12,397,901","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"GovCircle: Strengthening Cardano’s Constitutional Framework","90","₳6,295,687","₳5,073,209","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"Pay & Verify: Cardano for Legal Cannabis Payments!","106","₳6,292,742","₳12,883,594","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Multi-Level Document Approval Using Smart Contracts","83","₳6,217,719","₳8,413,193","NO","₳64,342","NOT FUNDED","₳513,764","Approval Threshold"
"MedFiNet: Where Immunization Meets Rewards","81","₳6,201,727","₳15,386,318","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Semoto RFP/RFQ Platform with Cardano Integration","80","₳6,194,523","₳10,660,067","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Sonhatório & Reeve: Transparency for Impact & RWA Projects","86","₳6,169,774","₳5,593,145","NO","₳71,000","NOT FUNDED","₳513,764","Approval Threshold"
"AeroGrowth: Invest in Urban Farms, Earn Real Yield","88","₳6,148,699","₳25,727,846","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"MindHealer: Connecting Experts & Clients on Cardano","93","₳6,133,029","₳26,235,190","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano MicroJobs","93","₳6,130,303","₳6,971,952","NO","₳38,000","NOT FUNDED","₳513,764","Approval Threshold"
"OpenVolts: Cardano-Anchored Energy Pods for Public Spaces","86","₳6,104,508","₳26,008,602","NO","₳57,112","NOT FUNDED","₳513,764","Approval Threshold"
"Web3 Platform for Gaming Tournaments","110","₳6,088,334","₳14,445,827","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"White-Label Decentralized Luxury Resale Marketplace","110","₳5,981,115","₳11,174,850","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Givinn: Blockchain-Powered Charity Platform","77","₳5,977,677","₳21,092,176","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"DiamondHooves<>Adaxon: Elevating NFTs with Private Chatbots","92","₳5,924,140","₳7,832,184","NO","₳45,000","NOT FUNDED","₳513,764","Approval Threshold"
"Addonx - P2P Digital Barter","88","₳5,922,605","₳10,957,166","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"TEX LedgerMeet – AI Meeting Summary Sealed on Cardano","91","₳5,922,097","₳10,382,857","NO","₳78,362","NOT FUNDED","₳513,764","Approval Threshold"
"Unreal Engine Plugin with Multi-providers (GameFi Dev Tool)","105","₳5,907,103","₳8,189,073","NO","₳39,000","NOT FUNDED","₳513,764","Approval Threshold"
"Semoto Cardano Professional Services Hub","78","₳5,820,578","₳8,802,618","NO","₳49,000","NOT FUNDED","₳513,764","Approval Threshold"
"Universal Skill Certification Platform (Cardano-Powered)","80","₳5,801,682","₳5,498,188","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"AdaBites: Explore & Rate Restaurants with Blockchain Trust","85","₳5,747,649","₳13,181,657","NO","₳76,150","NOT FUNDED","₳513,764","Approval Threshold"
"DIG Governance App: Blockchain Voting for Business Chambers","80","₳5,725,014","₳20,400,044","NO","₳92,000","NOT FUNDED","₳513,764","Approval Threshold"
"Reafino SmartPlay: Fully on-chain games with a RealFi angle","98","₳5,707,099","₳9,042,734","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Powered Digital Identity for Refugees & Unbanked","98","₳5,668,716","₳7,984,444","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"AdaRide - pay and earn through taxi rides","96","₳5,638,372","₳8,310,393","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"2Fund - A Trust-Based Flash Funding Platform","96","₳5,633,568","₳7,622,689","NO","₳75,988","NOT FUNDED","₳513,764","Approval Threshold"
"[BLAB] Decentralized AI Platform for MemeCoin Analytics","102","₳5,630,332","₳6,621,778","NO","₳59,211","NOT FUNDED","₳513,764","Approval Threshold"
"FictionForge: On-Chain Collaborative Writing Platform","81","₳5,620,659","₳6,512,351","NO","₳91,000","NOT FUNDED","₳513,764","Approval Threshold"
"Democratizing Collecting: Association-Based Access Model","76","₳5,576,166","₳7,266,199","NO","₳87,000","NOT FUNDED","₳513,764","Approval Threshold"
"Pollify.net - Decentralized Governance & Truth Certification","79","₳5,563,605","₳10,810,123","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Chat-Ching: Pay and earn yields through your messaging app","90","₳5,545,116","₳9,275,294","NO","₳82,600","NOT FUNDED","₳513,764","Approval Threshold"
"Quattro - Work for 4 Companies At Once, Use 1 Cardano NFT","82","₳5,526,248","₳12,668,394","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Blockchain-Certified NDVI/EVI Monitoring Forest Restoration","84","₳5,470,216","₳7,348,805","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"ShegerGoals: Fan Tokens Reviving Ethiopian FC with Cardano","96","₳5,467,883","₳13,216,595","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"AdaPulse","96","₳5,458,605","₳24,036,842","NO","₳38,000","NOT FUNDED","₳513,764","Approval Threshold"
"SupplyChainX Revolutionizing SupplyChain with OPEN SOURCE SC","76","₳5,436,158","₳7,823,216","NO","₳68,500","NOT FUNDED","₳513,764","Approval Threshold"
"SkillChain – Learn & Teach with Cardano","85","₳5,402,773","₳9,595,320","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
