"Proposal","Link to ideascale","Yes","No","Result","Meets approval threshold","Requested $","Status","Fund depletion","Reason for not funded status"
"Understand developers' feelings","https://app.ideascaleapp.eu/t/UCNZPdo","₳44,284,307","₳74,451,085","-₳30,166,778","NO","$1,337.50","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Defi Hackathon","https://app.ideascaleapp.eu/t/UCNZPcs","₳24,024,421","₳54,790,002","-₳30,765,581","NO","$26,750.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Slot Leader Podcast","https://app.ideascaleapp.eu/t/UCNZPcn","₳39,068,843","₳69,956,767","-₳30,887,924","NO","$15,515.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"ERC-* smart contracts conventer","https://app.ideascaleapp.eu/t/UCNZPdn","₳29,526,800","₳61,593,563","-₳32,066,762","NO","$27,820.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Ethereum to/from Cardano Bridge","https://app.ideascaleapp.eu/t/UCNZPdG","₳14,961,024","₳54,595,563","-₳39,634,539","NO","$5,350.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"A Smart Market Toolkit for Cardano","https://app.ideascaleapp.eu/t/UCNZPdI","₳88,712,904","₳128,623,080","-₳39,910,176","NO","$105,001.13","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"WeThinkItMatters Dapp Development","https://app.ideascaleapp.eu/t/UCNZPch","₳18,659,119","₳59,625,942","-₳40,966,823","NO","$17,120.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Torus: Governance for Open-Source","https://app.ideascaleapp.eu/t/UCNZPdN","₳12,445,229","₳55,150,347","-₳42,705,117","NO","$16,050.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano Stake Pool Library","https://app.ideascaleapp.eu/t/UCNZPcz","₳14,732,437","₳58,769,273","-₳44,036,835","NO","$13,054.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"THE PYNE FUND","https://app.ideascaleapp.eu/t/UCNZPco","₳10,236,953","₳55,450,612","-₳45,213,658","NO","$3,745.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Fandom Auction and Sales Platform","https://app.ideascaleapp.eu/t/UCNZPdV","₳16,757,592","₳63,440,953","-₳46,683,361","NO","$26,750.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Index Dapps & Smart Contracts","https://app.ideascaleapp.eu/t/UCNZPc7","₳9,357,772","₳57,900,136","-₳48,542,364","NO","$21,400.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"ERP Platform for Business Economics","https://app.ideascaleapp.eu/t/UCNZPdd","₳10,480,523","₳59,342,106","-₳48,861,583","NO","$5,884.89","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Decentralized Multiplayer RPG","https://app.ideascaleapp.eu/t/UCNZPdh","₳26,643,865","₳75,556,452","-₳48,912,586","NO","$64,200.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
